layer,start_date,railway,capacity,:ID,surveillance-type,level,public_transport,STIF-zone,website,addr-street,recycling-clothes,lit,amenity,ref-FR-STIF-stop_id,comment,shelter,dpt,train,crossing,name,city,supervised,lat,maxspeed,bicycle_parking,man_made,recycling-cans,charge,source-wheelchair,description,reg,recycling-green_waste,osmId,highway,old_name,note,crossing_ref,street,loc-name,bus,recycling-paper,segregated,ref-FR-STIF,official_name,bench,button_operated,network,recycling-plastic,tactile_paving,wheelchair,barrier,fixme,route_ref,recycling-glass,recycling-glass_bottles,access,covered,ref-IDFM,district,intermittent,operator,route_ref-FR-RER_D,bicycle,lon,source,mapillary,addr-city,direction,opening_hours,type-RATP,fee,ref,foot,crossing-bollard,traffic_calming,recycling_type
,,,,246568927,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6318700,,,,,,,, Île-de-France,,246568927,,,,,Rue Francois Truffaut,,,,,,,,,,,,,,,,,,,,,,,,,,2.4197691,,,,,,,,,,,,
,,,,246568928,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6316724,,,,,,,, Île-de-France,,246568928,,,,,Rue Francois Truffaut,,,,,,,,,,,,,,,,,,,,,,,,,,2.4200966,,,,,,,,,,,,
,,,,246568929,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6314356,,,,,,,, Île-de-France,,246568929,,,,,Rue Francois Truffaut,,,,,,,,,,,,,,,,,,,,,,,,,,2.4206500,,,,,,,,,,,,
,,,,246568931,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6311950,,,,,,,, Île-de-France,,246568931,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4218348,,,,,,,,,,,,
,,,,246568932,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6311076,,,,,,,, Île-de-France,,246568932,,,,,Rue Marcel Carne,,,,,,,,,,,,,,,,,,,,,,,,,,2.4228492,,,,,,,,,,,,
,,,,246568933,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6306783,,,,,,,, Île-de-France,,246568933,,,,,Place des Miroirs,,,,,,,,,,,,,,,,,,,,,,,,,,2.4283925,,,,,,,,,,,,
,,,,246568934,,,,,,,,,,,,, Essonne,,traffic_signals,,Évry-Courcouronnes,,48.6304398,,,,,,,, Île-de-France,,246568934,crossing,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4312878,,,,,,,,,,,,
,,,,246568935,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6304062,,,,,,,, Île-de-France,,246568935,,,,,Impasse du Télégraphe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4320187,,,,,,,,,,,,
,,,,246568936,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6304199,,,,,,,, Île-de-France,,246568936,,,,,Impasse du Télégraphe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4323691,,,,,,,,,,,,
,,,,246568937,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6304898,,,,,,,, Île-de-France,,246568937,,,,,Impasse du Télégraphe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4329174,,,,,,,,,,,,
,,,,246568938,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6305630,,,,,,,, Île-de-France,,246568938,,,,,Impasse du Télégraphe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4332271,,,,,,,,,,,,
,,,,246568939,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6306774,,,,,,,, Île-de-France,,246568939,,,,,Impasse du Télégraphe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4336267,,,,,,,,,,,,
